napushnoi|abandonadx
napushnr|abandonar
bajr|abrir
prai|acerca de
palakr|acostumbrar
adrstoi|afortunadx
gbar|agarrar
ors|águila
tivad|ala
tivót|aladx
gledie|alegría
bron|alma
uyadoi|altx
elskr|amar
derin|anillo
martr|apoyar
dreav|árbol
jatr|asesinar
jatvin|aspecto
urm|ausencia
urmr|ausentar
baisoi|bajx
sim|barón, baronesa
kuryistr|beneficiar
kuryist|beneficio
suiyr|besar
bel (s), beloi (adj)|blanco, x
broi|buenx
skov|bosque
banatr|buscar
ladin|caballerx
mata|cabeza
jentim|cacería
madr|cambiar
mad|cambio
muttoi|cansadx
iergr|cantar
señir|cargar
anp|afecto, cariño
sam|castillo
jentimr|cazar
kodis|código
uspais|comedor
spaisr|comer
npes|cómo
gröf|conde, condesa
snr|conocer
nampr|convencer
lambd|cordero
karlsilkr|corresponder
cir|cortar
gue|cosa
kredan|creadorx
kredanr|crear
virtr|creer
voroshr|decidir
karbatr|decir
stavisr|defender
stavis|defensorx
ikelr|dejar
rasvalr|descarrilar
guiun|día
til|dicción
tilót|dictado
tilr|dictar
kastoi|difícil
biog|dios, diosa
oroi|dorado
soivr|dormir
duje|duque, duquesa
lam|ejército
pirkr|empeorar
keij|emperador, emperatriz
mej|en cuestión
najr|encontrar
ftotr|enfriar
obmanr|engañar
obman|engaños
thum|entonces
apratr|escacear
apratoi|escaso
grelr|escribir
lemekr|escuchar
netrog|espalda
shpres|esperanza
makr|estar
dursr|estar fuera de lugar
ster|estrella
verjniam|evento
verjniamoi|eventual
arkvejniam|eventualmente
pashtr|existir
eribr|extrañar
eriboi|extraño (adj), erib (s)
nijoi|final
fon|fondo
pushkindr|ganar
san|género
guva|gente
kreig|guerra
ligr|gustar
pratr|hablar
seyr|hacer
ksud|hambre
kair|herir
bral|hermanx
vit|hogar
mand|hombre
ansa|hombro
god|humedad
ugod, ugodoi|humedal
godoi|húmedo
rik|imperio
potoi|importante
potr|importar
tiguet|información
otumr|ir
vlaboi|joven
daiguev|justicia
kardr|leer
tsov|león
kondoi (a), kond (s)|lógicx
u|lugar
ol|luz
jairt|madre, padre
piand|mágia
lanat|maldición
mangrov|manglar
kat|mar
vas|martillo
gor|mentira
ierm|mensajero
ak|meta
ditlr|mirar
kerg|montaña
vind|mujer
bardr|nacer
pluvr|nadar
duboi|negro
nog|noche
novoi|nuevx
at|ó
dagat|océano
umitr|oir
maid|ojo
mnemos|oscuridad
mnemosoi|oscurx
lankr|otorgar
rajm|palacio
nilr|parar
nil|paro
chask|parte
mnr|partir
kailr|pasar
leip|paz
pecado|grie
dujr|pedir
denkr|pensar
palmer|peregrino
fosbajr|permitir
yka|perro
andz|persona
sab|plazo
ekon|porque
poder|poder
pri'i|pradera
drelr|preguntar
doshnifr|pretender
menovr|presagar
menov|presagio
print|príncipe, princesa
kolk|principio
wotef|profeta
pokr|progresar
pok|progreso
onskr|querer
onskót, idash|queridx
prisnr|reconocer
dimelr|referir
mintr|regresar
mint|regreso
kirgrik|reino
kirol|rey, reina
vapoi|rojo
nev|sabana
djanr|saber
semikr|salvar
tabr|seguir
for|selva
sem|sentido
dijm|sentimiento
dijmr|sentir
pan|señor, señora
bykr|ser
nam|sí
arthamr|significar
ainslingoi|solitarix
punakr|sonreir
drojmr|soñar
beloidreavda|taiga
illr|tener
sesr|terminar
manak|tiempo
usoi|todo
vlak|tren
taid|tundra
ryistov|usar
vabikóia|dios creador
kelibr|venir
vidr|ver
pacoi|verde
braman|viaje
ayi|vida
vietoi|viejo
vidao|visión
ayir|vivir
